clustering 250 states TrpLoop2b RUN 10M_1 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_2 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_3 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_4 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_5 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_6 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_7 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_8 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_9 native_state 157 pop is  0
clustering 250 states TrpLoop2b RUN 10M_10 native_state 157 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_1 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_2 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_3 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_4 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_5 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_6 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_7 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_8 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_9 native_state 202 pop is  0
clustering 250 states TrpLoop2b_99 RUN 10M_10 native_state 202 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_1 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_2 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_3 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_4 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_5 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_6 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_7 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_8 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_9 native_state 164 pop is  0
clustering 250 states TrpLoop2b_nmr RUN 10M_10 native_state 164 pop is  0
clustering 500 states TrpLoop2b RUN 10M_1 native_state 440 pop is  0
